Product Name,Current Price,Typical Price,Rating,Total Reviews,Delivery Charges,Fabric Type,Care Instructions,Origin,Customer Reviews
Riskrole 2 Pack Men's Athletic Shorts 7 Inch Inseam Lightweight Quick Dry Running Shorts for Men Gym Workout Shorts,"PKR 7,796.61 with 13 percent savings","PKR8,910.81",4.4 out of 5 stars,(177),"PKR 22,136.37 Shipping & Import Charges to Pakistan","90% Nylon, 10% Spandex",Machine Wash,Imported,"{'Comfortable, lightweight, and great fit': '5 out of 5 stars', 'Great Quality Shorts for Everyday Training': '5 out of 5 stars', 'Comfortable': '4 out of 5 stars', 'Great Value for Comfortable, Versatile causal wear shorts': '5 out of 5 stars', 'Nice athletic material': '5 out of 5 stars', 'Great quality and comfort!!': '5 out of 5 stars', 'So comfortable!': '5 out of 5 stars', 'Lightweight, comfortable, but cheap zippers and poor pocket entrance design.': '3 out of 5 stars'}"
Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,"PKR 5,568.21 with 20 percent savings","PKR6,963.75",4.6 out of 5 stars,"(103,661)","PKR 20,387.07 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Buena calidad': '5 out of 5 stars', 'T-shirt': '5 out of 5 stars', 'Looks great, Is very light and keeps you cool.': '5 out of 5 stars', 'Léger, parfait': '5 out of 5 stars', 'Muy contento.': '5 out of 5 stars'}"
"Reebok Men’s Finisher Hoodie, Standard Fit, Midweight Cotton-Poly Fleece Fabric","PKR 11,111.36 with 16 percent savings","PKR13,231.12",4.8 out of 5 stars,(424),"PKR 27,601.52 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Sizing': '1 out of 5 stars', 'Nice hoodie': '5 out of 5 stars', 'Excelente producto': '5 out of 5 stars', 'Calidad y precio excelente 👌': '5 out of 5 stars', 'Para las mañanas y el frio del invierno.': '5 out of 5 stars'}"
3 Pack Long Sleeve Shirts for Men - Quick Dry Moisture Wicking UV Sun Protection T-Shirts for Fishing Workout Athletic Gym,"PKR 3,590.51 with 19 percent savings","PKR4,454.01",4.6 out of 5 stars,"(3,466)","PKR 20,128.02 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'“Great long sleeve shirt for sun protection and daily work.”': '5 out of 5 stars', 'Almost perfect for my needs': '5 out of 5 stars', 'Game changer': '5 out of 5 stars', 'Decent fit and quality.': '4 out of 5 stars', 'Versatile, comfortable workout shirts': '5 out of 5 stars', 'Great shirts': '5 out of 5 stars', 'True to size and good quality': '5 out of 5 stars', 'Great Quality': '5 out of 5 stars'}"
"YEOREO Ease Workout Leggings Womens No Front Seam Straight Leggings 29""/ 31.5""/ 33""/ 35"" High Waist Buttery Eddiy Yoga Pants","PKR 6,679.63 with 33 percent savings","PKR10,025.01",4.3 out of 5 stars,"(2,583)","PKR 19,871.76 Shipping & Import Charges to Pakistan","80% Nylon, 20% Spandex",Hand Wash Only,Imported,"{'So comfortable, perfect length!': '5 out of 5 stars', 'Excelente producto': '5 out of 5 stars', 'Cute and comfy': '5 out of 5 stars', 'القماش ناااعم و يتمطط': '5 out of 5 stars', 'Size down': '5 out of 5 stars'}"
"YOUNGCHARM 4 Pack Leggings with Pockets for Women,High Waist Tummy Control Workout Yoga Pants","PKR 11,139.21 with 22 percent savings","PKR14,203.26",4.6 out of 5 stars,"(26,261)","PKR 27,423.25 Shipping & Import Charges to Pakistan","75% Polyester, 25% Spandex",Machine Wash,Pull On,"{'Best of the best leggings- and I’ve tried them all': '5 out of 5 stars', 'Preis': '4 out of 5 stars', 'Size variation': '1 out of 5 stars', 'Licras': '4 out of 5 stars', 'Fabulous 😍': '5 out of 5 stars'}"
NORTHYARD Men's Workout Athletic Shirts Gym Running T-Shirts Tennis Quick Dry Short Sleeve Shirt Active Lightweight Sports,"PKR 5,568.21",,4.5 out of 5 stars,"(1,435)","PKR 21,846.68 Shipping & Import Charges to Pakistan","88% Polyester, 12% Elastane",Machine Wash,Imported,"{'Great workout shirts': '5 out of 5 stars', 'Good value': '5 out of 5 stars', 'Lite and Airy': '5 out of 5 stars', 'Great buy': '4 out of 5 stars', 'Perfect fit and very comfortable!': '5 out of 5 stars', 'Quality Athletic shirty': '5 out of 5 stars', ""Very Nice Casual Dress Shirts. You'll Like 'em!"": '5 out of 5 stars', 'Nice cool shirts': '5 out of 5 stars'}"
"Pudolla Men’s 2 in 1 Running Shorts 5"" Quick Dry Gym Athletic Workout Shorts for Men with Phone Pockets","PKR 6,153.17 with 15 percent savings","PKR7,239.51",4.4 out of 5 stars,"(5,622)","PKR 20,584.84 Shipping & Import Charges to Pakistan","Shell: 90% Nylon, 10% Elastane; Liner: 87% Polyester, 13% Elastane",Hand Wash Only,Imported,"{'VERY loud': '3 out of 5 stars', 'Great running shorts': '5 out of 5 stars', 'DO NOT BUY THESE SHORTS': '1 out of 5 stars', 'Very Cheap Material.': '1 out of 5 stars'}"
CANGHPGIN 2 Pack Mens Workout Athletic Shorts 7 inch Inseam Quick Dry Hiking Shorts Men Lightweight Sports Gym Shorts Running,"PKR 9,746.46",,4.5 out of 5 stars,"(3,248)","PKR 24,548.61 Shipping & Import Charges to Pakistan","90% Nylon, 10% Spandex",Machine Wash,Imported,"{'Sincera': '3 out of 5 stars', 'George pantalones cortos': '5 out of 5 stars', 'Me decepcionei com esse produto.': '1 out of 5 stars'}"
"CHRLEISURE Workout Shorts Sets for Women, High Waisted Gym Butt Lifting Scrunch Butt Seamless Shorts","PKR 5,428.94 with 35 percent savings","PKR8,353.71",4.4 out of 5 stars,"(4,314)","PKR 21,462.28 Shipping & Import Charges to Pakistan","64%Nylon, 28%Polyester, 8%Spandex",Hand Wash Only,Imported,"{'Super cute & great gut compression': '5 out of 5 stars', 'Solid and cute': '5 out of 5 stars', 'My favorite shorts for the gym!!': '5 out of 5 stars', 'Decent shorts, but they do roll up.': '4 out of 5 stars', 'Great quality, Great fit, super comfortable!': '5 out of 5 stars', 'They roll up like crazy!!!': '3 out of 5 stars', 'Highly recommend!!!': '5 out of 5 stars', 'Theee fitttttt!!!!!': '5 out of 5 stars'}"
